user_id,timestamp,channel,campaign_id,impressions,clicks,conversions,cost,revenue,session_duration,bounce_rate
user_25795,2025-06-19 16:50:15.853143,Referral,Fall Cleanup,3894,121,9,0.0,1864.33,553,0.34
user_10860,2025-07-26 17:50:15.853166,Organic Search,Winter Sale,3690,365,31,0.0,201.4,489,0.21
user_86820,2026-03-21 00:50:15.853176,Referral,Spring Fling,4240,194,27,0.0,881.79,424,0.34
user_64886,2025-11-27 03:50:15.853181,Email,Winter Sale,1501,113,9,60.32,44.75,557,0.81
user_16265,2025-12-09 20:50:15.853187,Social Media,None,888,428,7,266.38,1541.8,442,0.57
user_92386,2025-06-30 17:50:15.853192,Social Media,Winter Sale,3429,222,46,340.76,1282.45,146,0.46
user_47194,2025-09-09 20:50:15.853197,Paid Search,Winter Sale,2944,14,32,65.55,1399.4,178,0.55
user_97498,2025-07-03 13:50:15.853202,Email,None,4085,128,46,459.71,944.67,138,0.81
user_54131,2026-02-04 05:50:15.853207,Referral,Fall Cleanup,4112,353,48,0.0,1815.27,265,0.25
user_70263,2025-08-27 00:50:15.853212,Email,None,2192,258,12,68.79,819.11,456,0.87
user_26023,2025-06-27 23:50:15.853217,Email,Summer Promo,3067,176,43,109.32,1028.17,546,0.63
user_51090,2025-05-10 05:50:15.853222,Social Media,Winter Sale,1169,392,34,93.09,1390.58,209,0.78
user_77221,2025-05-22 22:50:15.853227,Referral,Winter Sale,1775,251,28,0.0,1041.12,425,0.52
user_74820,2025-09-28 00:50:15.853232,Organic Search,Fall Cleanup,2712,289,4,0.0,378.67,30,0.29
user_10769,2025-08-16 20:50:15.853236,Social Media,Spring Fling,4496,433,2,252.81,634.14,37,0.55
user_69735,2025-10-28 21:50:15.853241,Referral,None,387,372,36,0.0,184.59,173,0.15
user_72955,2026-03-31 15:50:15.853246,Paid Search,Spring Fling,885,247,40,475.81,865.23,304,0.78
user_74925,2025-09-04 20:50:15.853251,Social Media,Summer Promo,2416,315,5,191.79,1218.78,316,0.62
user_77969,2025-06-21 06:50:15.853255,Paid Search,None,2938,214,47,91.82,237.06,519,0.33
user_15311,2026-03-20 19:50:15.853260,Social Media,Summer Promo,3737,495,41,144.28,1261.17,60,0.32
user_93104,2025-08-24 23:50:15.853265,Email,Summer Promo,2728,323,15,127.09,1785.74,481,0.82
user_63707,2025-12-29 19:50:15.853269,Referral,Summer Promo,1365,10,34,0.0,675.45,273,0.77
user_95305,2025-07-08 02:50:15.853274,Paid Search,None,3083,180,17,152.84,444.07,169,0.71
user_38693,2025-12-29 16:50:15.853279,Social Media,None,3115,176,10,262.87,1786.01,430,0.43
user_81932,2025-12-11 14:50:15.853283,Paid Search,Fall Cleanup,170,403,22,337.95,1383.89,570,0.8
user_35658,2025-05-01 05:50:15.853288,Social Media,Winter Sale,2560,267,46,390.88,210.79,193,0.3
user_94478,2025-12-07 22:50:15.853293,Social Media,Spring Fling,711,72,10,357.98,816.22,133,0.12
user_28431,2025-09-13 17:50:15.853298,Organic Search,Spring Fling,3623,281,28,0.0,1348.18,92,0.45
user_12747,2025-09-13 01:50:15.853302,Organic Search,Summer Promo,3802,46,41,0.0,1148.77,44,0.84
user_69150,2026-02-08 14:50:15.853307,Organic Search,None,2676,25,26,0.0,1237.09,523,0.56
user_75725,2025-10-05 12:50:15.853312,Paid Search,None,290,263,8,107.47,1134.27,208,0.28
user_94654,2025-05-24 17:50:15.853317,Email,Summer Promo,1847,352,34,51.62,1596.12,552,0.62
user_45773,2025-11-16 15:50:15.853321,Social Media,Winter Sale,2225,355,8,268.28,640.85,470,0.7
user_77435,2026-04-02 01:50:15.853327,Referral,Spring Fling,1728,345,17,0.0,1416.92,554,0.54
user_66886,2025-08-19 02:50:15.853331,Organic Search,Fall Cleanup,3472,36,43,0.0,1982.16,517,0.77
user_76803,2025-12-25 21:50:15.853336,Paid Search,Winter Sale,3096,456,20,163.95,779.92,340,0.57
user_41551,2025-07-11 22:50:15.853341,Paid Search,None,116,120,47,489.57,1582.1,159,0.18
user_21394,2025-11-14 12:50:15.853345,Paid Search,Summer Promo,1697,242,35,381.68,492.22,495,0.75
user_79092,2025-08-08 23:50:15.853350,Referral,Spring Fling,1166,487,0,0.0,563.79,531,0.22
user_13890,2026-01-21 01:50:15.853355,Referral,Summer Promo,3239,73,26,0.0,1869.73,292,0.81
user_51606,2025-05-17 02:50:15.853359,Organic Search,None,3551,106,44,0.0,51.88,200,0.52
user_90038,2025-08-14 03:50:15.853364,Referral,Summer Promo,2359,425,39,0.0,434.85,435,0.69
user_97313,2025-09-24 18:50:15.853369,Organic Search,Spring Fling,2350,402,37,0.0,965.84,54,0.88
user_20627,2025-11-15 06:50:15.853374,Referral,Summer Promo,2873,276,28,0.0,803.7,478,0.45
user_18792,2025-10-13 20:50:15.853378,Referral,Spring Fling,4304,494,39,0.0,1258.34,189,0.47
user_83969,2025-08-24 16:50:15.853383,Referral,Summer Promo,383,335,18,0.0,385.44,246,0.76
user_53001,2025-04-27 05:50:15.853387,Organic Search,Summer Promo,3088,423,23,0.0,141.09,519,0.19
user_86552,2026-02-06 07:50:15.853392,Social Media,Spring Fling,4932,241,43,165.62,738.67,309,0.12
user_33897,2025-04-25 19:50:15.853397,Organic Search,Summer Promo,702,408,0,0.0,1048.71,110,0.58
user_78148,2025-12-22 08:50:15.853401,Social Media,Winter Sale,1463,452,35,91.97,1124.0,154,0.23
user_33483,2025-09-22 18:50:15.853406,Paid Search,Fall Cleanup,3452,57,22,430.07,1202.99,199,0.3
